Dialogue,Emotions
"Okay, and listen don't forget to bring your jazz shoes for the danceaudition.","Excitement, Anticipation, Optimism"
"Ahhh! My ah, my agent said it","Fear, Surprise, Frustration"
"Joey, all the roles got to dance a little. But believe me with yourdance background it'll be a piece of cake.","Confidence, Excitement, Optimism"
....three years of modern dance with Twila Tharp! Five years with theAmerican Ballet Theater?!,"Confidence, Excitement, Nostalgia"
"Hey, everybody lies on their resume, okay. I wasn't one of the Zoom Kidseither.","Confidence, Disgust, Frustration"
"Well, can you dance at all?","Confidence, Excitement"
"Yeah, I can dance, y'know. (starts to dance really, really, really badly)","Happiness, Confidence, Excitement"
"Oh no, no, no, no.","Fear, Surprise, Disgust"
"(covering her mouth in shock) What, what is that?","Fear, Surprise"
"Sure, it looks stupid now, there's no music playing.","Disgust, Confusion, Frustration"
"All right, I have to get that, but no-no. (answering phone) Hello?(listens) (happily) Hi! Yeah listen, I'm, I'm in need of a stripper and I was told thatyou do that. (listens) Let me ask you this, what, what do you do for the extra hundred?(listens) So would I, would I have to provide the grapes?","Excitement, Confusion"
(entering) Hi!,"Happiness, Confidence, Excitement"
"Oh, how was last night with Julio, senorita?","Love, Excitement, Anticipation"
"It was soo amazing, he is so sexy, and smart, which makes him evensexier. Oh gosh, I gotta so you this. Last night, we were fooling around and he stops towrite a poem.","Happiness, Love, Excitement"
Get out! I couldn't stop if a meteor hit me.,"Anger, Fear, Surprise"
"Okay, we have our stripper. A miss Crystal Chandelier.","Confidence, Excitement, Anticipation"
"Well sure, you name a kid that, what do you expect them to grow up to be?","Neutral, Confusion, Frustration"
"Anyway um, when he left he forgot to take the poem with him. Now, I amlike totally dense about poetry, but I think it's pretty good all right. Check it out.(hands them the poem)","Confidence, Neutral, Confusion"
(reading) The Empty Vase. Translucent beauty...,"Contentment, Neutral, Nostalgia"
"To yourself. (finishing) Hey-hey-hey, y'know what that's pretty good.","Happiness, Contentment, Confidence"
"Oh good, I think so too. Pheebs?","Happiness, Contentment, Love"
Oh yeah.,"Happiness, Contentment, Excitement"
"Oh, I'm so glad you guys like it. Yay! All right I gotta go to work.(tries to take the poem)","Happiness, Excitement, Anticipation"
"Whoa, I'm not done.","Confidence, Frustration"
"All right, just give it back to me when your done. See you guys.","Happiness, Contentment, Confidence"
Bye-bye.,"Happiness, Contentment, Neutral"
"Oh my God, oh my God! Poor Monica!","Sadness, Fear, Surprise"
"What, what, what?!","Surprise, Confusion, Frustration"
"What?! He was with her when he wrote this poem. Look, (reading) 'Myvessel so empty with nothing inside. Now that I've touched you, you seem emptier still.'He thinks Monica is empty, she is the empty vase!","Anger, Surprise, Disgust"
You really think that is what he meant?,"Confusion, Frustration"
"Oh, totally. Oh, God, oh, she seemed so happy too.","Sadness, Surprise, Frustration"
Done.,Neutral
"(reaching through the flowers) Do you have the, the Ralph Lauren file?","Neutral, Confusion, Frustration"
"Oh, yeah, sure, it's umm... (she picks up this bug and it starts to playthe theme from Love Story)","Happiness, Surprise, Excitement"
Wh-what's that?,"Fear, Surprise, Confusion"
"It's from Ross, it's a love bug.","Happiness, Love, Excitement"
Wow! Somebody wants people to know you have a boyfriend.,"Happiness, Surprise, Excitement"
"Oh no, no-no-no, that's not, not, not, what he is doing. He's just, he'sjust really romantic.",Confidence
"(to Rachel) Ah, excuse me, are you Rachel Green?","Confidence, Excitement, Anticipation"
Yes.,Neutral
"(being joined by the rest of the barbershop quartet) One, two, three...","Happiness, Excitement, Anticipation"
(singing) Congratulations on your first week at your brand new job! Itwon't be long before your the boss.,"Happiness, Excitement, Optimism"
"Omm-pah, omm-pah, omm-pah.","Happiness, Contentment, Excitement"
(singing) And you know who will be there to support... you?! Your oneand only boyfriend...,"Confidence, Love, Excitement"
It's nice to have a boyfriend.,"Happiness, Contentment, Love"
Your loyal loving boyfriend Ross..... Ross!,"Happiness, Surprise, Love"
"I'm hurt! I'm actually hurt, that you would think that I would send youany of those things out of any thing other than love. Hurt! Hurt!","Sadness, Anger"
All right Ross!! I get it!!,"Anger, Frustration"
I mean my God...,"Surprise, Disgust, Excitement"
You're hurt!,Sadness
"...can't, can't a guy send a barbershop quartet to his girlfriend's officeanymorrrrre!!","Disgust, Confusion, Frustration"
"Oh, please, Ross it was so obvious! It was like you were marking yourterritory. I mean you might have well have just come in and peed all around my desk!","Anger, Disgust, Frustration"
I would never do that!,Confidence
"Look, I know what's going on here, okay, Mark explained it all to me. Hesaid this is what you guys do.","Confidence, Surprise, Confusion"
"Yeah well if, if, if Mark said that, than Mark's an idiot.","Anger, Disgust, Frustration"
Mark's a genius!,"Happiness, Confidence, Excitement"
Why?! How?! How is he a genius?,"Surprise, Confusion, Frustration"
"Look, don't you see what's happening here. Instead of hitting on herright away, he's becoming her confidant. Now he's gonna be the guy she goes too tocomplain about you.","Neutral, Confusion, Frustration"
What am I going to do?,"Sadness, Confusion, Frustration"
"Well, why don't you send her a musical bug, op, no you already didthat. All right look, you're going to have to go there yourself now, okay, make a fewsurprise visits.","Surprise, Frustration, Optimism"
I don't know you guys.,"Neutral, Confusion, Frustration"
"All right fine, don't do anything, just sit here and talk to us,meanwhile she is talking to him about you. And he's being Mr. Joe Sensitive, and shestarts thinking 'Maybe this is the guy for me, because he understands me.'","Confusion, Frustration, Optimism"
"And before you know it, she's with him. And you'll be all, 'Ohh, man!' Andhe'll be all, 'Yes!' And us, we'll be like, 'Wh-whoa, dude.' And pretty soon you'll belike, (sadly) 'Hhiii,' and, and, and, 'I can't go, Rachel and Mark might be there.' Andwe'll be like, 'Man get over it, it's been four years!!'","Sadness, Excitement, Frustration"
He paints quite a picture doesn't he?,"Surprise, Excitement, Anticipation"
(walking up to Mark) Here's the Shelly Siegal stuff from December.,"Confidence, Neutral, Anticipation"
"(turning around) And wait, I've got something for you. (kisses her)","Happiness, Love, Excitement"
Mark!!,"Happiness, Surprise, Excitement"
"It's okay, Rachel knows.","Contentment, Confidence"
"Yeah, but even soo.","Neutral, Confusion, Frustration"
"I can't help it, I'm just, I'm just crazy about you.","Love, Excitement, Longing"
Ohhh! That is soo sweet! (gets up to get herself a cup of coffee),"Happiness, Love, Excitement"
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's justso tough, I mean see you walking around and I just wanna touch you and hold you, come onno one's around, just, just kiss me.","Love, Frustration, Longing"
"All right that's, that's it!! Get off her!","Anger, Fear, Frustration"
What is going on?,"Surprise, Confusion, Frustration"
What's going on?! (throws the love bug at him) That's what's going on!!,"Anger, Surprise, Frustration"
(now standing behind Ross) Ross!,"Confidence, Surprise, Excitement"
I have been down in your store for twenty minutes trying to get a tie!What do I have to do to get some service?! (turns to Rachel) Hi Rach. (He's puts his handon her shoulder and she knocks it away.),"Anger, Disgust, Frustration"
"Ah Joey. Joey Tribbiani. Listen Joey, I got a problem, I just got acall from my dance captain, he's having a relationship crisis and can't get out of LongIsland.","Neutral, Frustration"
"So, does that mean the audition is off?","Neutral, Confusion, Frustration"
"Listen Joey, seeing as you've got the most experience, I want you totake these dancers and show them the combination.","Confidence, Excitement, Optimism"
What?!,"Surprise, Confusion, Frustration"
"Aw come on Joey, it's easy. Y'know, it's hand, hand, head, head, (veryquickly, Joey watches stunned) up, pas de bouree, pas de bouree, big turn here, grandsissone, sissone, sissone, slide back, step, step, step, and jazz hands!","Confidence, Surprise, Excitement"
"It's ah, step-ity, step and jazz hands.","Happiness, Confidence, Excitement"
Have fun.,"Happiness, Excitement, Optimism"
Bye. (does the jazz hands),"Happiness, Confidence, Excitement"
(entering) Hey!,"Happiness, Surprise, Excitement"
Hey.,Neutral
What are you wrapping?,Neutral
"Oh-ho, look what I got Julio.","Happiness, Surprise, Excitement"
"Yeah, it's a vase.","Confidence, Neutral, Frustration"
"Yeah, just like the one in the poem.","Contentment, Neutral, Nostalgia"
Well not exactly like the one in the poem.,"Neutral, Confusion, Frustration"
What do you mean?,"Nostalgia, Confusion, Frustration"
Remember how you said you were really dense about poetry? Oh. (hugs her),"Happiness, Contentment, Love"
"(to Julio) So! I'm just an empty vase, huh?","Sadness, Anger, Frustration"
What?,"Surprise, Confusion, Frustration"
"Y'know, so I don't read as many important books as you do, and I don'twrite trick poems that seem to be about one thing but are actually about something else.And y'know what, I get excited about stupid stuff, like when I my","Contentment, Excitement, Frustration"
"Whoa, whoa, whoa.","Surprise, Excitement, Confusion"
You don't even know me...,"Neutral, Sadness, Frustration"
"Whoa, whoa, whoa, the poem is not about you.","Neutral, Confusion, Frustration"
What?,"Surprise, Confusion, Frustration"
"The Empty Vase is not about you. My baby, you make me so sad that youwould think this.","Sadness, Anger, Frustration"
"I'm sorry, my friend Phoebe...","Sadness, Love"
"No, it's about all women. Well, all American women. You feel better now?","Anger, Confusion, Frustration"
(sarcastically) Oh yeah.,Frustration
"All right, let's do it!","Confidence, Excitement, Optimism"
"No, no, no. What was that?","Surprise, Confusion, Frustration"
"I know, it was the best I could get out of them.",Frustration
"Well, people!","Happiness, Confidence, Excitement"
"People, people, people.","Happiness, Excitement, Optimism"
"Let's try it again, and this time let's watch everybody watch Joey.(to Joey) Show 'em how it's done. (to the pianist) Count it off.","Confidence, Excitement, Anticipation"
"So ah, did you have fun at the bachelor party last night?","Happiness, Excitement, Anticipation"
"Oh yeah, yeah! Look what I got, look what I got. (holds up a pen) See,she's fully dressed, right?","Happiness, Confidence, Excitement"
Right.,"Neutral, Confusion, Frustration"
"And then you click it and, uh-oh, she's naked. And then, and then youclick it again and she's dressed. She's a business woman, she's walking down the street,she's window shopping, and (clicks pen) whoa-whoa-whoa, sh-she's naked! (Rachel juststares at him.)","Surprise, Confusion, Frustration"
(entering) Hi.,"Happiness, Contentment, Neutral"
Hello.,Neutral
"Y'know what, I'm, I'm gonna spend some alone time with the pen.","Contentment, Confidence, Excitement"
"(sits down next to her) I'm sorry, I was an idiot.",Unknown
A big idiot.,"Anger, Disgust, Frustration"
"A big idiot. Just you have to realize is, this whole Mark thing is kindahard for me.","Sadness, Confusion, Frustration"
"Honey, why is it hard, I mean we've been together for almost a year now?","Confusion, Frustration, Longing"
"Well, I was with Carol for like eight years and I lost her. And now ifit's possible I think I love you even more. So, it's hard for me to believe that I'm notgonna, well that someone else is not going to take you away.","Sadness, Love, Longing"
Let it be me! Let it be me!,"Confidence, Excitement, Optimism"
"Honey, that's very sweet, it just seems to me though, that if two peoplelove each other and trust each other, like we do, there's no reason to be jealous. (shekisses him)","Contentment, Confidence, Love"
I gotta get going. Bye Chandler.,"Neutral, Sadness, Longing"
"Oh, okay Ross. Listen, this pen is kinda getting boring, so can youpick me up some porn?","Neutral, Confusion, Frustration"
Where ya going?,Neutral
"Oh, I've got to go pick up Ben, we've got a play date this afternoon.","Happiness, Excitement, Anticipation"
"Ohh, with who?","Happiness, Surprise, Excitement"
"Oh, just this woman that I met last night at the party.","Contentment, Excitement, Anticipation"
There was a woman at the... (realizes) The stripper?!,"Surprise, Excitement, Confusion"
Yeah.,Neutral
You have a play date with a stripper?!,"Surprise, Disgust, Confusion"
"Man, I gotta get a kid. (looks at the pen and starts laughing)","Happiness, Excitement, Optimism"
"Ah, yeah, yeah. Umm, we started talking after she y'know, did her thing.And it turns out she's got a boy about Ben's age, so we're taking them to a gym-boreeclass. Why, is that okay?","Happiness, Excitement, Anticipation"
"Sure, is she married?","Neutral, Anticipation, Confusion"
"Ahh, no.","Neutral, Confusion, Frustration"
Oh. (starts shaking the sugar down in a packet really hard.),Frustration
Are you jealous?,"Sadness, Frustration"
"Noo, I y'know I don't see why she has to play with you, that's all. Imean doesn't she have any y'know other stripper moms friends of her own?","Anger, Confusion, Frustration"
You are totally jealous.,"Anger, Frustration"
"I'm not jealous. All right this is about, umm, people feeling certainthings y'know about strippers. And y'know, and um, I...","Confusion, Frustration"
"Honey, I love you too.","Happiness, Contentment, Love"
"Ugh. Wait, wait, wait.","Neutral, Frustration"
What?,"Surprise, Confusion, Frustration"
Huh.,"Neutral, Confusion, Frustration"
"(to Chandler) Well, there's a kiss that he won't forget for a couple ofhours, y'know.","Contentment, Excitement, Anticipation"
"Yeah. Either that, or you just turned him on and sent him off to astripper.","Disgust, Confusion, Frustration"
(entering) Is there a Julio here?,"Confidence, Neutral, Anticipation"
(to him) I am Julio.,"Contentment, Confidence, Neutral"
"(singing) Mister Pretensous, (Monica stands up in the background) you thinkthere's no one finer, well but your poems are unpublished, and you work in a diner.",Disgust
"Your no God's gift to women, that's all in your headdddd. You are justa buttmunch.","Anger, Disgust, Frustration"
No one likes a buttmunch.,"Sadness, Anger, Disgust"
And your also bad in bedd-edd-edd!.,"Anger, Disgust, Frustration"
