Dialogue,Emotions
(goes to cry) No,"Sadness, Disgust, Frustration"
you look great.,"Happiness, Contentment, Confidence"
: hey Joey,"Happiness, Contentment, Excitement"
"Hey, this girl won't turn around and I can't tell  whether she's hot or not, what do you think?",Frustration
: Joey I am not going to objectify woman with you  (looks at the woman) but if her face is as nice as her ass woah mamma.,"Surprise, Disgust, Frustration"
"Alright thanks, Oh hey have you talked to Chandler?","Happiness, Excitement, Anticipation"
: yeah he has to stay in Tulsa this weekend,Neutral
how come?,"Confusion, Frustration"
": he has to work, there's some rush on the big (pause,  thinks) ah damn it one of these days I'm really gonna have to start listening  when he talks about his job.","Disgust, Frustration"
oh why don't you fly out there and surprise him.,"Surprise, Excitement, Anticipation"
: maybe I will go (thinks) yea will have a second  honeymoon at the Tulsa romana.,"Happiness, Excitement, Anticipation"
oh and you know what you should bring the black see-through  teddy with the attached garters. (Nods),"Confidence, Excitement, Anticipation"
: how do you know I have one of those?,"Surprise, Confusion, Frustration"
didn't till just now.,"Neutral, Surprise, Confusion"
hot not hot (she turns around) Hot!,"Confidence, Surprise, Excitement"
excuse me?,"Surprise, Confusion, Frustration"
I said I think you're hot and now I'm embarrassed.,Confusion
oh I thought you said Hi.,"Happiness, Surprise, Confusion"
"that would've been better, I'll try that Hi I'm Joey.","Confidence, Excitement, Optimism"
I'm Hayley.,"Confidence, Neutral, Excitement"
look I don't usually ask out women that I meet in  coffeehouses,"Confidence, Neutral, Anticipation"
HA!,"Happiness, Confidence, Excitement"
(turns round) gesundheit,"Neutral, Surprise, Confusion"
I would love to go out with you.,"Happiness, Love, Excitement"
"really, great, did I actually ask you?","Anger, Disgust, Frustration"
"no that's just where you were going I just figured that I'd help  you out, you don't seem like the kind of guy that does this very a lot.","Confidence, Neutral, Frustration"
HA!,"Happiness, Confidence, Excitement"
"(turns round again) seriously Gunther you should see  someone about that cold, if it gets much worse you could DIE! (Gunther looks  scared)","Sadness, Fear, Surprise"
so how'd the date go?,"Happiness, Excitement, Anticipation"
well it was awful every time I thought about what  you said I started crying.,Sadness
So he hasn't called?,"Sadness, Anticipation, Frustration"
would you call this girl? (Puts on a crying act)  thanks-fo-r-a-love-ly-even-ing,"Sadness, Disgust, Frustration"
now I feel terrible this is all my fault.,Sadness
"well you not what you should feel terrible about,  this could have been my serious guy he was sweet and smart and funny. Do you  know how hard it is to meet a guy like that?","Sadness, Frustration, Longing"
We are a rare breed.,Confidence
what a great dinner.,"Happiness, Contentment, Excitement"
yeah and hey thanks again for letting me having that  last piece of cake at the restaurant.,"Happiness, Contentment"
"(laughs) your welcome again, I'm gonna make some coffee can I get  you anything?","Happiness, Contentment, Excitement"
do you have any cake?,"Happiness, Contentment, Neutral"
(bends down to see and the cactus pricks him in the  ass) AWCH! That's why.,"Surprise, Confusion, Frustration"
"(He knocks at the door, Mike opens it) Hey Mike sorry  to just drop by like this, can I come in?","Neutral, Surprise, Excitement"
Sure (looks confused) who are you?,"Surprise, Confusion, Frustration"
"I'm Ross, Phoebe's friend from the coffeehouse.","Happiness, Contentment, Confidence"
Oh.,"Neutral, Surprise, Confusion"
"yeah I really, really need to talk to you about something.","Excitement, Anticipation, Longing"
"Ok, unless you're not gonna try to get me to join  a cult are you?","Neutral, Fear, Frustration"
(laughs) No,"Happiness, Confidence, Surprise"
oh it's just you have that look (shuts the front door),"Neutral, Surprise, Confusion"
Damn super cuts!,"Anger, Disgust, Frustration"
what's up is Phoebe ok?,"Neutral, Anticipation"
"oh no yeah, no Phoebe is great, but umm I'm an idiot  look right before you guys went out I accidentally got her all upset.","Sadness, Confusion, Frustration"
that's why she was weird.,"Disgust, Confusion, Frustration"
"yes, yeah I said something stupid about her never  having had a serious relationship, but you should know she is so much fun,  a wonderful person please don't blow her off.","Sadness, Frustration, Optimism"
"I'm not blowing her off, I actually just got off the  phone with her, were going out tomorrow night, I mean I hope that's ok with  you stranger from the coffee house.",Happiness
well then I didn't need to bother you or the four  other Mike Hanagens I bothered.,"Neutral, Frustration"
hey wait wait wait wait wait! Is that true what you  said Phoebe's never had a serious relationship?,"Surprise, Confusion"
of course she has. if she'd never had a serious relationship  I'd go round broadcasting it like some unstoppable moron.,"Confidence, Disgust, Frustration"
but you did say it,"Confidence, Anger, Frustration"
"yes, yes I did. and I will also say what I'm about  to say Vis-à-vis the following Phoebe has never had a serious relationship  since her. super-serious relationship with. Vicrum.","Neutral, Confusion, Frustration"
Vicrum?,"Surprise, Anticipation, Confusion"
WHAT THAT'S A REAL NAME!,"Surprise, Excitement, Confusion"
"(enters singing) Oklahoma where the wind comes  sweeping down the plane, STOP IT! Why couldn't they have sent me to Texas?  7 o clock maybe I'll hit the gym (sits down) who am I kidding pay-per-view  porn.","Disgust, Frustration, Longing"
DO NOT DISTURB DO NOT DISTURB!,"Anger, Disgust, Frustration"
: is everything all right?,"Neutral, Anticipation"
"everything's great, just watching some regular  television there, what a pleasant surprise. (She hugs him, and she knows what  he was doing so she looks at the TV and sees sharks swimming around thinking  Chandler was giving himself a treat to sharks.)","Happiness, Surprise, Disgust"
: I'm gonna go freshen up ok,"Happiness, Contentment, Confidence"
Ok honey. that was close.,"Happiness, Contentment"
Hello,"Happiness, Neutral, Surprise"
: Hey Rach its me ok I just got the Chandler's room  and I caught him molesting himself.,Unknown
Oh that couldn't have been pretty. but you know  guys do that.,"Neutral, Disgust, Frustration"
: yea well the weird part is... he was getting off  to a shark attack show!,"Surprise, Disgust, Confusion"
Nooooooooo!,"Sadness, Anger, Fear"
: Yes! Chandler Watches Shark Porn!,"Surprise, Excitement"
well watching sharks? Are you sure that's what he  was doing?,"Surprise, Confusion"
": do you know how many times I've seen him jump up  like that, believe me I know what he was doing.","Confidence, Surprise, Excitement"
man sharks. I always knew there was something weird  about that dude. But you promised to love him no matter what.,"Surprise, Disgust, Love"
: what means if he gets like a disease or kills someone.  not if he gets his jollys to jaws!,"Anger, Confusion, Frustration"
"Ah! You know what honey guys are just different,  they like things that we can't understand, you know I once dated this guy who  wanted to pretend he was an archeologist and I was a naughty cave woman that  he unfroze from a block of ice.","Excitement, Confusion"
: Eww are you talking about my bother.,"Anger, Surprise, Disgust"
yeah I didn't disguise that very well did i.,"Neutral, Disgust, Frustration"
(enters) Hey,"Neutral, Surprise, Excitement"
(sits down) Hi,"Happiness, Contentment, Confidence"
listen to this... I went out with this girl last night  and half way through our date I realized I already slept with her.,"Surprise, Excitement, Confusion"
so basically you've slept with all the woman in  New York and now you're just going around again.,"Disgust, Confusion, Frustration"
well that's not even the weird part. I don't think  she remembered sleeping with me.,"Surprise, Confusion, Frustration"
: But you don't remember sleeping with her.,"Surprise, Confusion, Frustration"
"yeah but she should remember sleeping with me I am  very memorable, you guys know.",Confidence
"what, how do we know, we never slept with you.","Confusion, Frustration"
and who's fault is that.,"Anger, Frustration"
": what's the big deal, you forgot, she forgot, maybe  you were having an off night","Neutral, Confusion, Frustration"
HEY! I never have an off night ok although sometimes  when I'm a little bloated I don't feel very sexy BUT EVEN THEN I'M BETTER THEN  MOST!,"Confidence, Frustration, Optimism"
: Honey why don't you just let it go and ask her  out again.,"Confidence, Frustration, Optimism"
"yeah your both so slutty you don't even remember  who you've slept with, you're made for each other.","Anger, Disgust, Frustration"
Interesting. all right I'll go out with her again  and try to get past it (reaches for the chips) OH SALT BLOATY!,"Surprise, Excitement, Frustration"
": Joey, Joey.","Happiness, Love, Excitement"
What?,"Surprise, Confusion, Frustration"
: you don't think sharks are sexy do you?,"Neutral, Surprise, Disgust"
No. (Pause) wait a minute what was the little mermaid?,Confusion
It's open.,"Contentment, Confidence, Neutral"
Hey!,"Happiness, Surprise, Excitement"
HEY! Mike called were going out again! YAY! YAY!  (She dances around with happiness),"Happiness, Excitement, Anticipation"
"YAY! (He continues the happiness with her by dancing  around) quick thing, I went to talk to Mike.","Happiness, Excitement, Anticipation"
What? Wha-wha-wha-did you do ROSS!,"Anger, Surprise, Frustration"
"oh boy you got mad at that part. I went over there  to tell him how great you are but you know me BLAH, BLAH, BLAH, and I ended  up telling him that.","Anger, Confusion, Frustration"
WHAT!,"Anger, Surprise, Confusion"
umm. that you had a six year long relationship with  a guy named Vicrum.,"Neutral, Nostalgia, Confusion"
WHAT! WHY?,"Anger, Surprise, Confusion"
well he seemed to bum hard that you'd never been in  a serious relationship.,"Sadness, Confusion, Frustration"
(Walks towards Ross) If you hadn't just had a baby  with my best friend I swear to Lucifer a raber dog would be feasting on your  danglers RIGHT NOW!,"Anger, Disgust, Frustration"
"well Phoebe, I think you'll feel better when you know  a little bit about Vicrum, His a Kite designer (He makes a wow face) and he  used to date Oprah. (He makes another wow face)","Surprise, Excitement"
"I'm not going along with some lie you made Ross,  No I'm just gonna be honest with him.","Anger, Confusion, Frustration"
Good yeah just be honest with him.,"Contentment, Confidence, Neutral"
"yeah I've nothing to be ashamed of ok so I haven't  been in a relationship that lasted longer then a month. Ok I haven't had a  real boyfriend you know if he can't handle that he can leave. which he will  and that's ok. so I'll just be alone forever you know alright I'll be. it'll  be fine. it'll be fine. I'll go walking tours with widows and lesbians. Oh  (takes a deep breath and sits down, knock on the door)","Neutral, Sadness, Frustration"
I'll get it,"Confidence, Excitement, Optimism"
ok,Neutral
"(Ross opens the door) You know I'm trying to think  of the last time I opened a door and you weren't there, Phoebe are you ok?  (She has her hands over her mouth)",Surprise
"Uh huh yeah (stands up) there's just something umm,  there's something you should know (Pause) Vicrum just called.","Surprise, Anticipation, Confusion"
"Uh huh, sure, yeah. How can you not remember me?","Confidence, Frustration"
What?,"Surprise, Confusion, Frustration"
How could you not remember that we slept together?,"Surprise, Confusion, Frustration"
What! When?,"Surprise, Anticipation, Confusion"
I dunno!,"Neutral, Confusion, Frustration"
"I really, really think I would remember sleeping with you","Confidence, Confusion, Frustration"
"come on, come on, search your brain all right. it  was (thinks) a certain amount of time ago, I was here you were here, we had  sex (starts pointing out the places) here, here, here NOT there. Anything?","Confidence, Nostalgia, Frustration"
no it's not ringing any bells.,"Neutral, Confusion, Frustration"
my god woman! How many people do you have to had been  with not to remember any of this?,"Anger, Confusion, Frustration"
Hey Hayley you've really gotta fix that doorknob. Joey!,Frustration
"Ooooooooooh, I slept with you! And you obviously remember  me Hey! I still got it. (Turns back to Hayley) so were good. (She just glares  at him) I'll let myself out.","Confidence, Anger, Frustration"
".and I said Vicrum you can't just call every time  you get lonely you know, you, you gave up that right when you slept with Rachel.","Sadness, Anger, Frustration"
But Rachel I thought she just had a baby with Ross,"Surprise, Confusion, Frustration"
yeah well (pause) yeah you know Emma's birth certificate  might say Geller but her eyes say Mookurgee.,"Confidence, Disgust, Confusion"
that is so wrong and on top of that his a glue sniffer.,"Anger, Disgust"
I know but he call's and my heart goes to him. You  know that bastard is one smooth talking free lance kite designer.,"Sadness, Love, Frustration"
"I just think there's somebody better out there for  you, (pause) I mean I'm not saying me but. maybe me.","Confidence, Anticipation, Frustration"
Oh.,"Neutral, Surprise, Confusion"
"and you don't have to worry about glue sniffing with  me. although I do smell the occasional magic marker, yeah ah anyway I just  think I can make you happy.","Happiness, Confidence, Excitement"
ok I can't do this.,"Sadness, Confusion, Frustration"
what's wrong?,"Sadness, Confusion, Frustration"
"well there is no Vicrum, Ross made him up because  I never really have been in a long-term relationship, I've never lived with  a guy, and I've never even celebrated an anniversary so. (Pause) if that's  too weird for you and you wanna leave I totally understand. In fact I'll close  my eye's make it less awkward (She sits with her eyes closed and Mike kisses  her, Phoebe opens her eyes and like a little child says.) You kissed me.","Happiness, Surprise, Confusion"
uh huh,Neutral
so you don't think I'm a total freak,Neutral
No. well look can I think your weird and also cool  for telling me the truth and also wanna kiss you.,"Love, Excitement, Confusion"
"I guess so, can I. can I think it's cool that you  kiss me and also wanna kiss you again (they get closer to kiss and Phoebe pulls  back) and umm, be a little concerned about the magic markers.","Love, Excitement, Anticipation"
Definitely,"Happiness, Contentment, Confidence"
"(They kiss and the phone rings and machine picks it  up, its Ross putting on an accent pretending to be Vicrum) This is Vicrum.","Surprise, Love, Excitement"
Hi honey I'm home!,"Happiness, Love, Excitement"
": Hi, how was your flight? (She hugs him)","Happiness, Love, Excitement"
oh it was great.,"Happiness, Contentment, Excitement"
": Here why don't you sit down, get yourself comfortable  because I. (Monica shows him the tape then puts it in) have  a little surprise for you.","Surprise, Excitement, Anticipation"
"well, well, well it must be five in Tulsa because  it's six o clock IN NY.C!","Contentment, Confusion"
: Ok (sits down next to him) This is how much I love  you. (She presses play then puts her arm around Chandler's neck.),"Happiness, Love, Excitement"
(Chandler looking confused) Honey why am I watching  a bunch of sharks swimming around.,"Surprise, Confusion, Frustration"
: Is this not the good part? Do you want me to fast  forward to something a little toothier.,"Excitement, Anticipation, Frustration"
no I'm not quite sure you got the right movie  that's all.,"Disgust, Confusion, Frustration"
": Oh well this is the only one they had at our video  store, but they did have something called crocodile killers. Or does it always  have to be sharks?","Neutral, Confusion, Frustration"
does what always have to be sharks.,"Neutral, Confusion, Frustration"
": Honey look we can do something else, do you want  me to get into the tub and thrash.","Neutral, Confusion, Frustration"
What's going on?,"Fear, Surprise, Confusion"
": sweetie it's ok, I still love you, let me be a  part of this.","Contentment, Love, Optimism"
let ME be a part of this!,"Confidence, Frustration, Longing"
: I saw what you were doing in Tulsa. angry sharks  turn you on!,"Anger, Surprise, Disgust"
no they don't,"Neutral, Confusion, Frustration"
: then why were you watching them and giving YOURSELF  a treat.,"Anger, Confusion, Frustration"
"OH MY GOD! When you came in I switched the channel,  I was just watching regular porn","Surprise, Disgust"
: really?,"Surprise, Excitement, Confusion"
yeah just some good old fashion girl on girl American  action.,"Confidence, Excitement"
: I cannot tell you how happy that makes me! (They  hug),"Happiness, Love, Excitement"
"You are an amazing wife. (Monica shrugs) No really  you're amazing you were actually gonna do this for me, I mean where do you  find the strength and understanding over something like that.","Happiness, Love"
": Im very, very drunk right now.","Happiness, Contentment, Confusion"
"(looks at a girl walk in) see ordinarily I would talk  to her, but my confidence is shaken did I sleep with her? Did I not sleep with  her?","Sadness, Confusion, Frustration"
"you know maybe this is a wake up call, about your    whole dating attitude. Your in your thirty's and you've never had a serious    relationship and you have never been in a long term relationship, here you    go from woman to woman, meaningless experience to meaningless experience    never even worrying that it doesn't tern into anything serious.","Sadness, Disgust, Frustration"
your right! I love my life! (He gets up to go and  speak to the girl and he turns back and sits down) I actually did sleep with  her.,"Happiness, Surprise, Love"
