Dialogue,Emotions
"We close escrow tomorrow, so seeing another house can only confuse   us, and we're easily confused. We're not very bright.","Neutral, Confusion, Frustration"
But what if it is better than ours? Should we at least look?,"Confidence, Excitement, Anticipation"
What do you think Pheebs?,"Happiness, Love, Excitement"
"Well, I think that shirt makes you look like you should work at a Baskin   Robbins... Anyway... Hey, isn't Joey's agent Estelle Leonard?","Neutral, Confusion, Frustration"
Yeah.,"Contentment, Confidence, Neutral"
She died.,Sadness
You're kidding!,"Surprise, Excitement"
That's terrible!,"Sadness, Disgust, Frustration"
"Yeah, last Saturday. Wow! She was the first black man to fly solo across   the Atlantic. (Chandler and Monica look puzzled) Oh, wait a minute, I read the   wrong one.","Surprise, Confusion, Frustration"
Oh yeah?,"Confidence, Surprise, Excitement"
"Yeah, she was just an agent.","Confidence, Neutral, Disgust"
Joey's gonna be *so* upset.,Sadness
I know. *He* always wanted to be the first black man to cross the   Atlantic.,"Surprise, Anticipation"
"Well, we cannot tell Joey about this. He's already flipping out about   everything that's changing. This will push him over the edge.","Sadness, Fear, Frustration"
"Seriously, you don't think we should tell him?","Confusion, Frustration"
"Well, not for a little while. Let's just give him a few days to get   used to everything else.","Confidence, Neutral, Optimism"
What if he reads it in the paper?,Fear
"Unless Snoopy says it to Charlie Brown, I think we're okay.","Contentment, Confidence, Neutral"
"Yeah, I'm a friend of Rachel Green's. Uhm, actually we met at the Christmas   party about two years ago.","Confidence, Neutral, Nostalgia"
"Oh right, uhm, Don?","Neutral, Confusion, Frustration"
Close. Ron. (shakes hands),"Happiness, Contentment, Confusion"
Uh... What can I do for you?,"Neutral, Confusion, Frustration"
"Uhm, well... I'm here to see if you'll give Rachel her job back.","Neutral, Frustration, Optimism"
"Ah, did she ask you to come here and do this?","Neutral, Confusion, Frustration"
"Oh, no. At first I have to get you to agree. Then we'll   see if she","Confidence, Frustration, Optimism"
"Wow, that","Surprise, Excitement, Confusion"
"Look, she",Neutral
She is good!,"Happiness, Confidence, Excitement"
"(surprised) Huh, I took a shot there.","Surprise, Confusion, Frustration"
"But I'm sorry. There's nothing I can do... Ah,   it's not true, there is... nothing I","Sadness, Confusion, Frustration"
I see... Thanks very much. (he gets up and walks to the door. On his   way out he looks at the photographs Mr Zelner has near his door. He picks one   up.) Is this your son?,"Neutral, Nostalgia"
"Yeah, his name is Ross. (Ross looks very surprised) What?","Surprise, Excitement, Confusion"
"Oh, nothing, it’s just, it’s close to Ron. Does he.. Does   little Ross like dinosaurs by any chance?","Neutral, Anticipation"
"Yeah, they're all he talks about, why?","Neutral, Confusion, Frustration"
How would,"Neutral, Confusion, Frustration"
You can really arrange that?,"Confidence, Excitement, Optimism"
"You let Rachel come back, and it’s done.","Neutral, Frustration, Longing"
"Well, I guess having Rachel back wouldn’t be the worst thing   in the world.","Contentment, Neutral, Optimism"
"Yeah! Yes! Thank you! This is great. Thank you so much. And I swear,   your kid is going to have the time of his life.","Happiness, Confidence, Excitement"
"That’s great. I worry about little Ross. He’s always   reading, he's collecting rocks and he’s obsessed with dinosaurs.",Unknown
He’ll be fine.,"Contentment, Confidence, Optimism"
Hey Phoebe.,"Happiness, Contentment, Love"
Hey. Everything ok?,Neutral
I’m just mad at my agent.,"Sadness, Anger, Frustration"
Estelle? Why?,"Surprise, Confusion, Frustration"
There’s a part in a TV movie that I would be perfect for and I   didn’t even be put up for it! She’d better have a good reason.,"Anger, Frustration"
I’m guessing she does.,"Confidence, Neutral"
"Well (taking his cell phone out of a pocket) I’m wanna hear it,   because she keeps doing this.","Confusion, Frustration"
"Well, no, no, wait, wait, wait. All right, I gotta go. Just listen. Promise me, that you   will wait a minute before you call her.",Frustration
Ok. Why?,Neutral
Because a promise between friends means never having to give a reason.   (she leaves),"Contentment, Confidence, Love"
I love that saying!,"Happiness, Love, Excitement"
Hello?,"Neutral, Surprise, Confusion"
I was just gonna call you! That’s weird.,"Surprise, Excitement, Anticipation"
"It’s a little coincidental, but believable.   (Joey nods in agreement). Listen, I’m sure you’re wondering why   I didn’t get you an audition for that TV movie.","Neutral, Confusion, Frustration"
"Yeah, actually I am!","Happiness, Confidence, Excitement"
I guess I dropped the ball there. Whoopsie!,"Surprise, Frustration"
"That’s it? You know, it seems all you do lately is drop the ball.","Disgust, Confusion, Frustration"
"Don’t take that tone with me. Who you   think you are? Alan Lemond, the first black man to fly solo across the Atlantic?","Anger, Confusion, Frustration"
"No, no, look. All I’m saying is that you’re my agent, ok?   And you’re not getting me into any auditions and I’m tired of it.","Disgust, Confusion, Frustration"
What are you saying?,"Surprise, Confusion, Frustration"
"I’m saying that… (pause). This isn't  working for me   anymore, ok? Estelle, you’re fired. Goodbye. (he hangs up the phone).","Sadness, Anger, Frustration"
"Man, tough week for Estelle!","Sadness, Frustration"
Hi.,"Contentment, Confidence, Neutral"
Hi.,Neutral
Emma left her stuffed t-rex at my house. You know she can’t sleep   without it.,Sadness
"Oh, well, she’s asleep now. Stop forcing that thing on her.","Neutral, Disgust, Frustration"
Ok.,"Contentment, Confidence, Neutral"
"Oh, you’re not gonna believe what happened to me today! Ralph   Lauren called, and gave me my job back!","Happiness, Surprise, Excitement"
Nooo!,"Sadness, Anger, Fear"
"Yee. I mean, it was so weirdest thing. They fired me and then out   of nowhere they just hire me back! I mean, that place must have been falling   apart without me.","Surprise, Confusion, Frustration"
"So, you’re not going to Paris.","Neutral, Surprise"
"No, I’m still going.",Confidence
Wh… wh…what?,"Fear, Surprise, Confusion"
"When the Louis Vuitton people found out that Ralph Lauren wanted me back,   the offered me more money! Isn’t that great?","Happiness, Confidence, Excitement"
Yeeeah! (They high-five),"Happiness, Confidence, Excitement"
"Oh, sure. I’m showing it to someone else right now,   but please, look around.","Contentment, Confidence, Neutral"
Thanks.,Neutral
"It feels like we’re cheating on our house.   And if we’re gonna cheat, shouldn’t it be with like a hot, younger house,   that does stuff that our house won’t do?","Happiness, Excitement, Frustration"
Ours is,"Happiness, Contentment, Confidence"
So? What do you think?,"Confidence, Neutral, Anticipation"
Love it!,"Happiness, Love, Excitement"
"Well, we already have one offer on it, and I think the lady   upstairs is goning to make another one.","Confidence, Excitement, Anticipation"
"They could be our neighbors, what are they like?",Anticipation
"Oh, the woman upstairs is very nice. She and her husband have two kids,   he's on Wall Street and she…","Contentment, Neutral, Optimism"
Oh my God!,"Fear, Surprise, Excitement"
"Hey Joey, want come with me to… are you ok?","Anticipation, Confusion"
"Yeah, I just… I just feel bad about firing Estelle. This is got to be   killing her.",Sadness
"No, that wouldn’t kill her. Ordinary embolism might.","Confidence, Neutral, Disgust"
"I don’t know. She’s got to be taking it hard, I was like   her only client. Except for this guy who eats paper. And I’m guessing   he eats more money than he makes. Look, I know she’s not a great agent, but   she did stick with me for ten years. I’m gonna call her and hire her again.","Sadness, Nostalgia, Confusion"
"No, no, no! Don't call her! You wait for her to call","Confidence, Anger, Frustration"
Why?,"Confusion, Frustration, Optimism"
Because patience is the road to understanding (she thinks) which ...   is the key... to a happy heart.,"Happiness, Contentment, Optimism"
(impressed) You blow me away.,"Surprise, Excitement"
"(picking up her bag) All right, so promise you're gonna wait for her   to call you?","Confidence, Neutral, Optimism"
"I promise. And that means, never having to give a reason. (Phoebe stops   herself from laughing and leaves)","Happiness, Surprise, Confusion"
And yet I,"Confidence, Neutral, Frustration"
"Oh, we go way back. Before Monica made an honest man   out of him, Chandler used to be","Happiness, Contentment, Nostalgia"
"(at Janice's punching) Don't, don't! (looks disgusted)","Fear, Disgust, Frustration"
"No, actually, we're buying the house next door. (Janice gasps)","Surprise, Excitement, Anticipation"
(To Monica and with bulging eyes) Why!?,"Fear, Surprise, Confusion"
(looks confused and scared) I d,"Fear, Surprise, Confusion"
"Ooh, that decides it then. I was on the","Confidence, Excitement, Anticipation"
This can not be happening!,"Fear, Surprise, Frustration"
"Okay, the realtor said another couple made an offer.   Maybe the","Neutral, Anticipation, Optimism"
"The only way that that is going to happen, is if the other couple   are the Hitlers.","Surprise, Confusion, Frustration"
"(Thinks a little more) Okay, Okay, (clapping her hands)   All right. What if we got both houses? Huh? We can turn","Excitement, Anticipation, Optimism"
"That is a great idea! And by the way, I don't mean to sound distasteful,   but when did you start crapping money!?","Surprise, Disgust, Excitement"
"Okay, you come up with an idea.","Confidence, Neutral, Anticipation"
"Alright alright, we still have three hours till escrow closes on   our house. We can still get out.","Confidence, Excitement, Optimism"
But we,"Neutral, Confusion, Frustration"
"Will we love it so much with her next door? And she's gonna be louder   out here too. Just the crickets and (apes Janice's voice) Oh My God""!""","Love, Excitement, Frustration"
"Okay, but if we don't get this house, she's stil gonna show up wherever   we go! I mean, at least if she's here, it eliminates the element of suprise.   I mean, never again will you have to hear the three words that make your balls   jump back up inside your body. (She shows this with her index finger, mimicking   it pushing something up)","Confidence, Fear, Frustration"
"(looks afraid, but at the same time, knows she's right) Well, we   have to do something. We can't have her living next door. (Janice's laughs loudly   outside) Oh, that does it too. (Motions with his index finger like Monica did)","Anger, Fear, Frustration"
Who is it?,"Neutral, Surprise, Confusion"
(enters) It's me.,"Confidence, Neutral, Surprise"
"This may surprise you, but re-hiring fired employees,   is not my main job.","Confidence, Neutral, Surprise"
Just hear me out. How would you feel about offering her a raise? (looks   hopeful),"Confidence, Excitement"
"(obviously amused) Not good, Ron.","Neutral, Frustration"
Perhaps I can persuade you. What if you can give your son this (Takes   a huge egg out of his back) genuine pterodactyl egg (whispers) replica.,"Excitement, Anticipation, Optimism"
"(Takes a long look at the egg while he considers it) Wow, that's   pretty cool (Takes the egg from Ross)","Surprise, Excitement"
Huh? So? We have a deal?,"Confidence, Confusion, Frustration"
"Okay, you got it.","Contentment, Confidence, Neutral"
Yes! yes!,"Happiness, Confidence, Excitement"
,"Neutral, Confusion, Frustration"
"Oh, (grins) Believe me, the ladies, they love it!","Happiness, Confidence, Excitement"
"(looks at Ross, for a long moment, confused) I meant with my son.","Sadness, Confusion, Frustration"
"Good, 'cause the ladies, not so much. (shakes his head, give him a thumbs   up and leaves)","Confidence, Disgust, Frustration"
"Oh my God. (Still in shock when his mobile rings, he picks it up) Hello?","Surprise, Confusion"
"(on the other side of the line, still pretending to be Estelle) Joey,   it's Estelle. (Joey's eyes bulge up, he looks afraid)","Fear, Surprise, Confusion"
Estelle?,"Neutral, Surprise, Anticipation"
"Yeah, I wanted to call and tell you that there's no hard feelings for   firing me.","Contentment, Neutral"
"(still scared) Ok-ay. I just, I can't believe you're calling me?",Fear
"Well, I didn't think I should just drop by...","Neutral, Confusion, Frustration"
"No, no, no! (Starts looking around the room, terrified) Don't drop by,   don't drop by!","Fear, Confusion, Frustration"
"Anyway, you did what you had to do. I'm okay.","Contentment, Confidence, Neutral"
"Can I ask you something? Uhm, what's it like there?",Anticipation
"(Looks around) It's alright. Look kiddo, I gotta go. Good luck with   the career. You're gonna be huge.","Contentment, Confidence, Optimism"
"Thanks for everything Estelle. Bye. (Hangs up and reads the phone display)   out of area"". Boy","Neutral, Confusion, Frustration"
The Hitlers will be so disappointed.,"Surprise, Disgust, Frustration"
"All right, I got to run. Tell Monica I say goodbye. And... I'll see   you later, neighbor. (Janice laugh)","Happiness, Contentment, Excitement"
Wait! I just want you to know that... I'm so happy you're going to   be here.,"Happiness, Love, Excitement"
"Oh, me too... (laughs)","Happiness, Contentment"
Because... that way... we can pick up where we left off.,"Contentment, Nostalgia, Optimism"
Huh?,"Surprise, Confusion, Frustration"
I never stopped loving you.,"Love, Nostalgia, Longing"
Oh... my...,"Fear, Surprise, Disgust"
"Yeah, yeah, yeah! I want you... I need you... I must have you Janice   Litman Goralnik Neihosenstein.","Happiness, Excitement, Longing"
"Chandler, what are you talking about?","Neutral, Confusion, Frustration"
"Now that you live next door, we can be together every day. Sid and   Monica never have to know a thing.","Happiness, Excitement, Anticipation"
"I don't know what to say... I mean, you know, obviously we have this...   heat between us.","Confusion, Frustration, Longing"
(stunned) Obviously.,"Surprise, Confusion, Frustration"
"But I love my husband. And I know you love your wife. Now, I don't   think we should get this house now.","Sadness, Love, Confusion"
Don't say that. Don't tangle the dream and take it away.,"Sadness, Fear, Longing"
"Chandler, one of us has got to be","Confusion, Frustration, Optimism"
I understand.,"Contentment, Neutral"
"Although, maybe just... one last moment of weakness... (she kisses   Chandler flat on the mouth. Chandler squirms. When she's finished, he looks   at her lovingly but uneasily.) Goodbye Chandler Bing. (She leaves)","Sadness, Love"
(speaking as in pain) They're never coming down now.,"Sadness, Frustration, Longing"
Hi!,"Happiness, Excitement, Optimism"
Hey!,"Happiness, Excitement, Optimism"
You are never going to believe what happened to me today.,"Surprise, Excitement, Anticipation"
What?,"Surprise, Confusion, Frustration"
Ralph Lauren called,"Confidence, Excitement, Anticipation"
They did?,"Surprise, Anticipation, Optimism"
Yeah. It was the weirdest thing. Zelner called me and he said we'll   do everything we can to get you back. And that I should thank some Ron... I   don't even know what department that guy's in.,"Surprise, Confusion, Frustration"
"So, what are you gonna do?","Confidence, Excitement, Anticipation"
"Well, I took it.",Confidence
That's great! So you're staying in New York!,"Happiness, Excitement, Optimism"
YAY! WHOO! YAY!,"Happiness, Excitement"
"You're excited, right?","Happiness, Excitement, Anticipation"
"(hesitant) Ye-ah. Yeah! You know, the money's",Confusion
Right!,"Confidence, Excitement, Optimism"
"Yeah, you know, was I looking forward to going to   Paris? Sure. You know, was I excited about working in the","Neutral, Excitement, Anticipation"
"Uhm, I hadn't no you... I had no idea you were so excited about Paris.   Uhm, I mean, you said you were scared.","Fear, Surprise, Confusion"
"Well yeah, but I mean, it was good scared though, you know? Like when   I-moved-to-New-York scared. Or uhm, when I-found-out-I-was-gonna-have-Emma scared...   But this is... fine. This is gonna be good. (they both stare around)","Confidence, Excitement, Anticipation"
(after a long pause) You should go.,"Neutral, Sadness, Frustration"
What?,"Surprise, Confusion, Frustration"
It's what you want. You should go.,"Contentment, Confidence, Neutral"
You really think so?,"Confidence, Excitement, Optimism"
I really do.,"Happiness, Contentment, Confidence"
But I already told Zelner that I would come back...,"Confidence, Confusion, Frustration"
(picks up a skull of some carnivore from his side table and puts it in   the same bag in which he brought the pterodactyl egg to Zelner) I'm sure he'll   understand.,"Confidence, Neutral, Anticipation"
All right. ALL RIGHT! I'm gonna do it. I'm gonna go to Paris.,"Confidence, Excitement, Optimism"
Yeah...,Neutral
"Yeah! I'm going to Paris. Thank you, Ross!","Happiness, Excitement"
"Yeah, yeah, oh! (They hug)","Happiness, Love, Excitement"
"Oh! Oh, I'm","Surprise, Confusion, Frustration"
Then I'm happy too. (They're still hugging - fade out),"Happiness, Contentment, Love"
"Thank you all for coming. We're here today to pay respects   to a wonderful agent and a beautiful woman... (Joey looks at the photograph)   ..inside. As Estelle's only two clients we would like to say a few words. (Joey   looks for his notes. The man next to him is chewing something.) Dude, where's   my speech? (the man swallows something and looks at Joey.) That","Sadness, Nostalgia, Frustration"
